timestamp,s_CPU (%),s_MEM (%),s_pods,decision_action,decision_action_by,epsilon,s'_CPU (%),s'_MEM (%),s'_pods,s'_latency (ms),s'_drop_packets (%),is_done,reward
2024-12-23 17:41:44.196913,37.43,98.61,1,1,Policy,0.5,19.46,83.34,2,1004.1666666666666,0.0,True,-0.660991
2024-12-23 17:41:44.215870,8.11,94.12,2,0,Random,0.5,8.11,94.12,2,911.1666666666666,0.0,True,-0.63837
2024-12-23 17:41:44.232878,10.78,96.1,2,-1,Policy,0.5,0.13,90.35,1,782.0,0.0,True,-0.275054
2024-12-23 17:41:44.241875,44.46,136.3,1,1,Policy,0.5,0.15,79.84,2,2061.833333333333,0.0,True,-0.862751
2024-12-23 17:41:44.255867,21.0,100.01,2,1,Policy,0.5,0.25,88.77,3,3025.5,0.0,True,-1.186063
2024-12-23 17:41:44.265865,25.62,99.59,3,-1,Policy,0.5,4.27,99.2,2,904.0,0.0,True,-0.636581
2024-12-23 17:41:44.278877,4.68,99.99,2,0,Policy,0.5,4.68,99.99,2,1206.3333333333333,0.0,True,-0.706745
2024-12-23 17:41:44.296863,7.15,97.57,2,0,Random,0.5,3.87,94.83,2,1077.3333333333333,0.0,True,-0.678062
2024-12-23 17:41:44.311864,8.71,132.14,2,0,Random,0.5,8.71,132.14,2,1004.6666666666666,0.0,True,-0.66111
2024-12-23 17:41:44.317863,8.06,98.98,2,0,Random,0.5,8.06,98.98,2,833.1666666666666,0.0,True,-0.618532
2024-12-23 17:41:44.353867,8.83,98.34,2,1,Policy,0.5,13.08,85.66,3,951.5,0.0,True,-0.84135
2024-12-23 17:41:44.367861,6.75,101.71,3,0,Policy,0.5,6.75,101.71,3,863.5,0.0,True,-0.819383
2024-12-23 17:41:44.377874,4.18,106.17,3,1,Policy,0.5,18.55,98.41,4,4422.666666666667,0.0,True,-1.464871
2024-12-23 17:41:44.386859,8.26,106.34,4,0,Random,0.5,8.26,106.34,4,1717.6666666666667,0.0,True,-1.135982
2024-12-23 17:41:44.399871,2.5,104.24,4,-1,Policy,0.5,3.29,102.05,3,964.1666666666666,0.0,True,-0.84443
2024-12-23 17:41:44.407858,4.91,101.34,3,0,Policy,0.5,4.91,101.34,3,985.0,0.0,True,-0.849453
2024-12-23 17:41:44.421857,4.79,101.51,3,0,Policy,0.5,4.79,101.51,3,950.6666666666666,0.0,True,-0.841147
